From,To,Profile,Category,TollCost
1134,1246,T1,1,46.5
1134,1250,T1,1,22.5
1134,1342,T1,1,21.02
1134,1352,T1,1,46.5
1134,1372,T1,1,102.83
1134,1407,T1,1,77.63
1134,1410,T1,1,31.93
1134,1411,T1,1,22.5
1134,1414,T1,1,0
1134,1423,T1,1,0
1134,1425,T1,1,3.46
1134,1429,T1,1,0
1134,1431,T1,1,19.99
1134,1433,T1,1,7.83
1134,1434,T1,1,0
1134,1440,T1,1,24.72
1134,1442,T1,1,22.5
1134,1443,T1,1,23.9
1134,1448,T1,1,31.93
1134,1449,T1,1,24.72
1134,1454,T1,1,13.96
1134,1463,T1,1,14.69
1134,1467,T1,1,24.72
1134,1473,T1,1,159.26
1134,1482,T1,1,24.72
